country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,0.39,0.39,0.39
Albania,0.987,0.987,0.983,0.979,0.975,0.971,0.967,0.963,0.959,0.962,0.965,0.968
Algeria,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.7060000000000001,0.7130000000000001,0.72,0.727,0.727,0.727,0.727,0.727,0.727
Angola,0.674,0.674,0.677,0.68,0.683,0.686,0.6890000000000001,0.6920000000000001,0.6950000000000001,0.6980000000000001,0.7010000000000001,0.7040000000000001
Antigua and Barbuda,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Argentina,0.972,0.972,0.9727,0.9733999999999999,0.9741,0.9748,0.9755,0.9762,0.9769,0.9776,0.9783,0.979
Armenia,0.994,0.994,0.9942,0.9944,0.9946,0.9948,0.995,0.9952,0.9954,0.9956,0.9958,0.996
Azerbaijan,,,,,,0.996,0.996,0.996,0.997,0.998,0.998,0.998
Bahrain,0.865,0.865,0.874,0.883,0.892,0.901,0.9099999999999999,0.9189999999999999,0.9279999999999999,0.9369999999999999,0.946,0.946
Bangladesh,0.475,0.475,0.48519999999999996,0.4954,0.5056,0.5158,0.526,0.5362,0.5464,0.5566000000000001,0.5668000000000001,0.5770000000000001
Belarus,,,,,,,,0.996,0.996,0.996,0.996,0.996
Belize,,,,,,,,,,,,
Benin,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.332,0.317,0.302,0.287,0.287,0.287,0.287,0.287,0.287
Bhutan,,,,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528,0.528
Bolivia,0.867,0.867,0.8736666666666667,0.8803333333333333,0.887,0.8936666666666667,0.9003333333333333,0.907,0.907,0.912,0.912,0.912
Bosnia and Herzegovina,0.967,0.9681818181818181,0.9693636363636363,0.9705454545454545,0.9717272727272727,0.9729090909090908,0.9740909090909091,0.9752727272727273,0.9764545454545455,0.9776363636363636,0.9788181818181818,0.98
Botswana,,0.812,0.812,0.812,0.816875,0.82175,0.826625,0.8315,0.836375,0.84125,0.846125,0.851
Brazil,0.8640000000000001,0.8695,0.875,0.8805,0.8859999999999999,0.8909999999999999,0.8959999999999999,0.9,0.9,0.903,0.904,0.904
Brunei,0.927,0.927,0.9298000000000001,0.9326,0.9354,0.9382,0.9410000000000001,0.9438,0.9466,0.9494,0.9521999999999999,0.955
