country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,0.0529,0.0529,0.0529,0.045,0.0491,0.0567,0.0528,0.053,0.0553,0.0576,0.0609,0.0609,0.0609
Algeria,,,,,,,,,,,,,0.0215,0.0215,0.0215,0.0215,0.0215,0.0215
Angola,,,,,,,,,,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156
Argentina,,,0.0172,0.0172,0.0172,0.0139,0.0111,0.00995,0.0088,0.00925,0.00866,0.00783,0.00811,0.00798,0.00856,0.009506666666666667,0.010453333333333334,0.0114
Armenia,,,,,,,,,,,,,0.0715,0.0715,0.0715,0.0711,0.054000000000000006,0.054000000000000006
Australia,0.0124,0.0124,0.0117,0.0105,0.00918,0.00792,0.00762,0.0061600000000000005,0.00593,0.008759999999999999,0.00912,0.00866,0.00907,0.0102,0.0121,0.0124,0.0119,0.0117
Austria,0.00984,0.00797,0.00743,0.00908,0.0119,0.0118,0.0114,0.0107,0.008790000000000001,0.0107,0.0105,0.00989,0.0106,0.0118,0.0132,0.0143,0.0155,0.0144
Azerbaijan,,,,,,,,0.0254,0.0254,0.0254,0.0244,0.0239,0.0229,0.022,0.0218,0.0221,0.0225,0.0217
Bangladesh,,,,,0.00113,0.00113,0.00113,0.0036724999999999995,0.006214999999999999,0.008757499999999998,0.0113,0.010763333333333333,0.010226666666666667,0.00969,0.0086575,0.007625,0.0065925,0.00556
Belarus,,,,,,,,,,,,,,,0.0122,0.0122,0.0122,0.0122
Belgium,0.0203,0.0171,0.0195,0.0209,0.0217,0.0247,0.0235,0.0214,0.0189,0.021,0.0245,0.0202,0.0202,0.0238,0.0249,0.0246,0.0225,0.0201
Belize,,,,,,,,,,,,,,,0.0229,0.0229,0.0229,0.0229
Bhutan,,,,,,,,,,,,0.00648,0.00648,0.00648,0.0070750000000000006,0.0076700000000000015,0.0076700000000000015,0.0076700000000000015
Bolivia,,,,0.00974,0.00974,0.00974,0.00807,0.0055,0.00449,0.00521,0.0044,0.00359,0.00328,0.004220000000000001,0.0035700000000000007,0.00473,0.00586,0.00581
Bosnia and Herzegovina,,,,,0.0885,0.0885,0.0885,0.084,0.066,0.0649,0.0748,0.0732,0.0755,0.07725,0.079,0.079,0.079,0.079
Brunei,,,,,,,,,,,,,0.0215,0.0215,0.0215,0.024333333333333332,0.027166666666666665,0.03
Bulgaria,0.0533,0.0678,0.0622,0.047,0.0378,0.0317,0.0279,0.0233,0.0177,0.0197,0.032,0.0375,0.0406,0.0441,0.0407,0.0324,0.0255,0.0208
Cambodia,,,,,,,,,,,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
Cameroon,,,,,,,,,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
Canada,0.00621,0.0056700000000000006,0.00674,0.00665,0.00615,0.00554,0.00483,0.0043100000000000005,0.004370000000000001,0.00727,0.0092,0.008620000000000001,0.00758,0.0076799999999999985,0.00743,0.0069900000000000006,0.00728,0.00673
Cape Verde,,,,,,,,,,,,,,,,0.0254,0.0254,0.0254
Chile,,,,,,,,,0.0103,0.0103,0.0103,0.0086,0.00719,0.00575,0.0069,0.00674,0.00827,0.00942
Colombia,0.0392,0.0392,0.0297,0.028,0.0257,0.0209,0.0165,0.0121,0.0121,0.0145,0.0159,0.0136,0.0124,0.0111,0.0107,0.00966,0.0105,0.0115
Costa Rica,,,,,,,,,,,0.00788,0.00788,0.00788,0.00979,0.0124,0.0119,0.0102,0.00934
Cote d'Ivoire,,,,,,,,,,,,,,,0.005370000000000001,0.005370000000000001,0.005370000000000001,0.005370000000000001
Croatia,0.0468,0.0468,0.0468,0.0419,0.0404,0.0376,0.0334,0.0322,0.028,0.0297,0.0383,0.046,0.0535,0.0586,0.0573,0.0553,0.0376,0.0287
Cuba,,,,,,,,0.00252,0.00252,0.00252,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005,0.0040100000000000005
Cyprus,0.00892,0.0063,0.00506,0.006409999999999999,0.00733,0.00825,0.00632,0.0053,0.00404,0.00592,0.0101,0.0129,0.024,0.0361,0.0397,0.0344,0.0282,0.022
Czech Republic,0.0308,0.0283,0.0252,0.026,0.0287,0.0287,0.0267,0.0188,0.015,0.0178,0.0236,0.0205,0.0218,0.0223,0.0192,0.0165,0.012,0.00807
Denmark,0.00906,0.00842,0.0075099999999999984,0.0116,0.0125,0.0103,0.00716,0.00585,0.00404,0.00822,0.0152,0.0167,0.0174,0.015,0.0138,0.0136,0.0125,0.0114
Dominican Republic,,,,,,,,,,,,,,0.00923,0.00923,0.00923,0.00895,0.0058
Ecuador,0.0125,0.0076700000000000015,0.008545,0.00942,0.0065,0.00466,0.00468,0.00337,0.0029,0.00404,0.00359,0.00285,0.00242,0.00232,0.00222,0.00328,0.00593,0.00493
Egypt,,,,,,,0.0236,0.0236,0.0236,0.0259,0.0254,0.0288,0.0363,0.0382,0.03725,0.0363,0.0339,0.0314
Estonia,0.0384,0.0453,0.0352,0.0313,0.0342,0.0257,0.0187,0.0138,0.0133,0.0337,0.0572,0.0445,0.035,0.0261,0.0227,0.0171,0.0163,0.0146
Eswatini,,,,,,,,,,,,,,,0.0196,0.0196,0.0196,0.0196
Ethiopia,,,,0.00561,0.00561,0.00561,0.005645000000000001,0.00568,0.0057150000000000005,0.00575,0.005785,0.0058200000000000005,0.005855,0.00589,0.00589,0.00589,0.00589,0.00589
