country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,7.47,8.12,8.24,9.16,9.66,11.0,11.4,13.9,15.9,15.9,18.0,19.0,19.5,19.8,20.2,20.7,21.1,21.7
Albania,6.93,7.51,7.85,8.28,8.74,9.22,9.77,10.4,11.1,11.5,11.9,12.2,12.4,12.5,12.8,13.0,13.5,14.0,14.5,14.9
Algeria,110.0,114.0,120.0,129.0,134.0,142.0,145.0,150.0,153.0,156.0,161.0,166.0,172.0,176.0,183.0,190.0,196.0,198.0,201.0,203.0
Andorra,2.64,2.85,2.98,3.24,3.51,3.7,3.88,3.94,3.72,3.52,3.45,3.45,3.28,3.16,3.24,3.29,3.41,3.42,3.48,3.54
Angola,36.0,37.5,42.6,43.9,48.7,56.0,62.5,71.3,79.2,79.9,83.8,86.7,94.1,98.8,104.0,105.0,102.0,102.0,99.6,98.8
Antigua and Barbuda,1.0,0.953,0.9620000000000001,1.02,1.08,1.15,1.29,1.41,1.41,1.24,1.15,1.13,1.16,1.16,1.2,1.25,1.32,1.36,1.46,1.53
Argentina,303.0,290.0,258.0,281.0,306.0,334.0,360.0,393.0,409.0,385.0,424.0,449.0,444.0,455.0,444.0,456.0,446.0,458.0,447.0,437.0
Armenia,4.31,4.72,5.34,6.09,6.73,7.67,8.68,9.87,10.5,9.06,9.26,9.7,10.4,10.7,11.1,11.5,11.5,12.4,13.0,14.0
Australia,849.0,866.0,900.0,927.0,965.0,996.0,1020.0,1060.0,1100.0,1120.0,1150.0,1170.0,1220.0,1250.0,1280.0,1310.0,1350.0,1380.0,1420.0,1450.0
Austria,336.0,341.0,346.0,350.0,359.0,367.0,380.0,394.0,400.0,385.0,392.0,403.0,406.0,406.0,409.0,413.0,422.0,432.0,443.0,450.0
Azerbaijan,13.4,14.7,16.1,17.7,19.3,24.7,33.3,41.7,46.2,50.5,52.9,52.1,53.2,56.3,57.9,58.5,56.7,56.8,57.7,58.9
Bahamas,9.41,9.66,9.92,9.79,9.88,10.2,10.5,10.6,10.4,9.94,10.1,10.2,10.5,10.2,10.2,10.3,10.3,10.4,10.5,10.7
Bahrain,15.3,15.6,16.2,17.2,18.4,19.6,20.9,22.6,24.0,24.6,25.7,26.2,27.2,28.7,29.9,30.8,31.8,33.1,33.7,34.3
Bangladesh,67.0,70.4,73.1,76.6,80.6,85.9,91.6,98.1,104.0,109.0,115.0,123.0,131.0,139.0,147.0,157.0,168.0,180.0,194.0,210.0
Barbados,4.23,4.13,4.16,4.25,4.31,4.48,4.75,4.85,4.88,4.64,4.53,4.5,4.48,4.42,4.41,4.52,4.63,4.65,4.63,4.62
Belarus,28.0,29.4,30.8,33.0,36.8,40.2,44.3,48.1,53.0,53.1,57.2,60.3,61.3,61.9,63.0,60.6,59.1,60.6,62.5,63.2
Belgium,406.0,410.0,417.0,422.0,437.0,447.0,458.0,475.0,477.0,468.0,481.0,489.0,493.0,495.0,503.0,513.0,521.0,531.0,538.0,546.0
Belize,0.956,1.0,1.05,1.15,1.2,1.22,1.28,1.29,1.33,1.34,1.38,1.4,1.44,1.46,1.51,1.55,1.55,1.58,1.62,1.62
Benin,6.52,6.87,7.19,7.44,7.76,7.9,8.21,8.7,9.13,9.34,9.54,9.82,10.3,11.0,11.7,11.9,12.3,13.0,13.9,14.9
Bhutan,0.662,0.7170000000000001,0.7959999999999999,0.858,0.91,0.976,1.04,1.24,1.3,1.38,1.55,1.67,1.76,1.79,1.9,2.02,2.19,2.29,2.36,
Bolivia,13.5,13.7,14.0,14.4,15.0,15.7,16.4,17.2,18.3,18.9,19.6,20.7,21.7,23.2,24.5,25.7,26.8,27.9,29.1,29.7
