country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,54.6,54.8,55.6,56.4,56.9,57.4,57.6,58.0,58.8,59.3,59.9,60.4,60.8,61.3,61.2,61.2,61.2,63.4,63.7,64.1
Albania,74.9,75.2,75.3,75.4,75.6,76.0,76.4,76.9,77.0,77.5,77.6,77.7,77.8,77.9,77.9,78.0,78.1,78.2,78.3,78.5
Algeria,74.0,74.2,74.5,74.6,75.0,75.3,75.5,75.7,75.9,76.1,76.3,76.5,76.8,76.9,77.0,77.1,77.4,77.7,77.9,78.1
Andorra,81.2,81.4,81.6,81.7,81.7,81.8,82.0,82.1,82.2,82.2,82.3,82.4,82.4,82.5,82.5,82.6,82.7,82.7,,
Angola,51.7,52.4,53.5,54.2,54.8,55.7,56.4,57.5,58.4,59.1,59.9,60.6,61.3,61.9,62.8,63.3,63.8,64.2,64.6,65.0
Antigua and Barbuda,74.7,74.9,75.2,75.4,75.6,75.8,76.0,76.3,76.4,76.6,76.6,76.7,76.7,76.8,76.8,76.9,77.0,77.0,77.2,77.3
Argentina,74.2,74.3,74.2,74.3,74.9,75.3,75.4,75.1,75.5,75.6,75.8,75.9,76.0,76.1,76.4,76.5,76.5,76.7,76.8,77.0
Armenia,72.3,72.6,72.7,72.9,73.2,73.4,73.6,73.9,73.8,73.9,74.0,74.3,74.7,75.2,75.3,75.3,75.4,75.6,75.8,75.9
Australia,79.5,80.0,80.2,80.5,80.8,81.2,81.4,81.4,81.5,81.7,82.0,82.1,82.5,82.6,82.5,82.5,82.5,82.4,82.5,82.7
Austria,78.3,78.7,78.9,79.0,79.4,79.6,80.1,80.2,80.4,80.3,80.6,80.8,81.0,81.2,81.4,81.5,81.7,81.8,81.9,82.0
Azerbaijan,66.8,67.2,67.3,67.2,67.4,67.5,68.0,68.5,68.8,69.1,69.3,69.5,69.8,70.1,70.3,70.5,70.6,70.8,70.9,71.1
Bahamas,71.5,71.6,72.4,72.9,72.9,73.4,73.0,73.5,73.5,73.3,73.4,73.4,73.4,73.5,73.5,73.3,73.6,73.7,73.9,74.1
Bahrain,72.6,73.7,74.2,74.2,74.4,75.1,75.7,76.5,77.1,77.8,78.2,78.5,78.7,78.9,79.2,79.3,79.4,79.5,79.6,79.8
Bangladesh,65.5,66.1,66.5,66.8,67.3,67.6,67.9,68.1,68.5,69.1,69.5,70.3,71.1,71.7,72.0,72.5,72.9,73.1,73.4,73.7
Barbados,74.8,75.3,75.3,75.4,75.5,75.5,75.8,76.1,76.3,76.7,76.7,76.8,77.1,77.1,77.1,77.1,77.1,77.1,77.2,77.3
Belarus,68.8,68.3,67.8,68.4,68.8,68.6,69.3,70.2,70.3,70.4,70.4,70.4,72.2,72.6,73.1,73.8,74.0,74.0,74.3,74.5
Belgium,77.8,78.1,78.3,78.5,79.0,79.2,79.6,79.6,79.6,79.8,80.1,80.2,80.3,80.5,80.9,80.9,81.2,81.4,81.5,81.7
Belize,70.3,70.9,71.3,71.5,71.8,72.3,72.6,73.2,73.5,73.5,73.6,73.8,74.0,74.1,74.1,74.0,74.1,74.2,74.3,74.4
Benin,57.5,57.7,58.1,58.4,58.8,59.2,59.6,60.0,60.5,61.0,61.4,61.8,62.2,62.6,63.0,63.5,64.1,64.6,64.9,65.3
Bhutan,65.7,67.1,67.8,68.3,68.8,69.3,69.8,70.3,70.8,71.1,71.6,72.1,72.5,72.8,73.1,73.5,73.8,74.0,74.4,74.7
Bolivia,66.5,67.2,67.6,68.1,68.5,69.0,69.4,69.7,70.1,70.5,70.8,71.1,71.4,71.7,71.9,72.2,72.5,72.8,73.1,73.3
Bosnia and Herzegovina,75.3,75.5,75.5,76.0,76.2,75.9,76.0,75.7,76.1,76.1,76.3,76.4,76.6,76.5,76.6,76.4,76.5,76.7,76.9,77.0
Botswana,54.0,52.8,51.9,51.4,51.6,52.7,54.2,55.8,57.0,58.4,60.2,61.6,63.2,64.5,65.8,66.9,68.1,69.1,69.5,69.8
Brazil,71.4,71.8,72.1,72.3,72.6,73.1,73.5,73.7,74.0,74.2,74.4,74.5,74.9,75.1,75.3,75.5,75.4,75.5,75.7,75.9
Brunei,73.8,74.0,74.2,74.4,74.5,74.7,74.8,74.9,75.0,75.0,75.1,75.0,75.0,75.0,75.1,75.1,75.2,75.3,75.5,75.6
Bulgaria,71.6,71.9,72.2,72.4,72.5,72.6,72.7,73.0,73.3,73.6,73.8,74.1,74.5,74.8,74.5,74.8,74.9,74.9,75.0,75.1
Burkina Faso,52.4,52.8,53.4,54.0,54.6,55.3,55.9,56.5,57.2,57.8,58.3,58.8,59.2,59.7,60.2,60.7,61.2,61.7,62.1,62.5
Burundi,44.9,45.7,46.6,47.5,48.7,49.7,53.8,54.9,56.0,56.9,57.8,58.6,59.3,59.9,60.5,60.8,61.2,61.5,61.9,62.3
Cambodia,60.2,60.8,61.5,62.1,62.9,63.7,64.5,65.3,66.0,66.6,67.1,67.6,68.2,68.6,69.0,69.3,69.6,69.9,70.2,70.4
Cameroon,54.8,54.7,54.6,54.6,54.6,54.9,55.3,55.7,56.3,56.9,57.7,58.4,59.2,59.9,60.5,61.2,62.1,63.0,63.4,63.8
Canada,79.2,79.5,79.6,79.8,80.1,80.2,80.6,80.7,80.8,81.1,81.4,81.7,81.7,81.9,81.8,81.7,81.9,82.0,82.1,82.2
Cape Verde,71.2,71.5,71.7,72.0,72.3,72.5,72.9,73.0,73.7,74.0,74.3,74.5,74.7,75.0,75.2,75.3,75.5,75.8,76.0,76.2
Central African Republic,44.3,44.3,44.4,44.7,44.9,45.2,45.6,46.0,46.7,47.4,48.0,48.8,49.6,48.5,48.7,50.9,51.7,51.9,52.4,52.9
Chad,52.1,52.3,52.5,52.6,53.0,53.6,53.7,54.6,55.1,55.8,56.4,56.9,57.5,58.1,58.7,59.2,59.7,60.0,60.3,60.6
Chile,76.9,76.8,77.3,77.3,77.5,77.9,78.2,78.4,78.8,78.6,78.6,79.0,79.3,79.3,79.6,79.6,79.7,79.7,79.8,80.0
China,72.1,72.6,73.0,73.4,73.7,74.2,74.9,75.4,75.4,75.7,75.8,76.0,76.2,76.5,76.5,76.5,76.7,77.1,77.3,77.5
Colombia,74.1,74.3,73.3,75.1,75.6,76.4,76.6,77.3,77.6,77.7,78.1,78.9,79.3,79.6,80.0,80.0,80.0,80.1,80.3,80.5
Comoros,61.6,62.5,62.9,63.6,64.1,64.5,64.8,65.0,65.8,65.4,66.5,66.3,66.9,67.3,67.7,68.0,68.3,68.6,68.8,69.1
