country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,0.39
Albania,,0.987,,,,,,,0.9590000000000001,,,0.968
Algeria,,,0.6990000000000001,,,,0.727,,,,,
Angola,,0.674,,,,,,,,,,0.7040000000000001
Antigua and Barbuda,,0.99,,,,,,,,,,0.99
Argentina,,0.972,,,,,,,,,,0.9790000000000001
Armenia,,0.9940000000000001,,,,,,,,,,0.996
Azerbaijan,,,,,,,,0.996,,0.998,,
Bahrain,,0.865,,,,,,,,,0.946,
Bangladesh,,0.475,,,,,,,,,,0.5770000000000001
Belarus,,,,,,,,,,0.996,,
Belize,,,,,,,,,,,,
Benin,,,0.34700000000000003,,,,0.287,,,,,
Bhutan,,,,,,0.528,,,,,,
Bolivia,,0.867,,,,,,0.907,0.907,0.912,,
Bosnia and Herzegovina,0.9670000000000001,,,,,,,,,,,0.98
Botswana,,,,0.812,,,,,,,,0.851
Brazil,0.8640000000000001,,,,0.8859999999999999,,0.8959999999999999,0.9,0.9,0.903,0.904,
Brunei,,0.927,,,,,,,,,,0.955
Bulgaria,,0.982,,,,,,,,,,0.983
Burkina Faso,,,,0.218,,0.23600000000000002,,0.287,,,,
Burundi,0.593,,,,,,,,0.87,,,
Cambodia,,,,,0.736,,,,0.7759999999999999,0.7390000000000001,,
Cameroon,0.684,,,,,,,0.7070000000000001,,,0.713,
Cape Verde,,,,,0.8,,,,,,,0.8490000000000001
Central African Republic,0.506,,,,,,,,,,,0.5660000000000001
Chad,0.256,,,,0.284,,,,,,,0.354
Chile,,,0.9570000000000001,,,,,,0.987,0.985,,
China,0.909,,,,,,,,,,0.951,
Colombia,,,,,0.9279999999999999,0.9279999999999999,0.9229999999999999,0.927,0.934,0.932,0.934,0.9359999999999999
Comoros,0.685,,,,,,,,,,,0.755
"Congo, Dem. Rep.",,0.672,,,,,,0.612,,,,
Costa Rica,0.9490000000000001,,,,,,,,,,,0.963
Cote d'Ivoire,0.48700000000000004,,,,,,,,,,,0.569
Croatia,,0.982,,,,,,,,,,0.9890000000000001
Cuba,,,0.998,,,,,,,,,0.998
Cyprus,,0.968,,,,,,,,,,0.987
Dominican Republic,,,0.87,,,,,0.882,,,0.895,0.9009999999999999
Ecuador,,0.91,,,,,,0.8420000000000001,,0.8420000000000001,0.9179999999999999,0.9159999999999999
Egypt,,,,,,0.7140000000000001,0.664,,,,0.72,0.73
El Salvador,,,,,0.7979999999999999,,0.836,0.82,0.84,0.841,0.845,
Equatorial Guinea,0.883,,,,,,,,,,,0.9420000000000001
Eritrea,,,0.525,,,,,,,,,0.6890000000000001
Estonia,0.998,,,,,,,,,,,0.998
Eswatini,0.8170000000000001,,,,,,,,,,,0.878
Ethiopia,,,,,0.359,0.298,,0.39,,,,
Gabon,,,,,0.838,,,,,,,0.89
Gambia,0.368,,,,,,,,,,,0.511
Georgia,,,0.997,,,,,,,,,0.997
Ghana,0.579,,,,,,,,,,0.715,
Greece,,0.96,,,,,,,,,,0.973
Guatemala,,,0.691,,,,,,,,,0.759
Guinea,,,,0.297,,,,,,,0.253,
Guinea-Bissau,0.414,,,,,,,,,,,0.5529999999999999
Guyana,,,,,,,,,,0.85,,
Haiti,,,,0.5870000000000001,,,0.48700000000000004,,,,,
Honduras,,0.8,,,,,,0.836,,,0.848,0.851
Hungary,,,,,0.99,,,,,,,0.99
India,,0.61,,,,,0.628,,,,,0.628
Indonesia,,,,,0.904,,0.92,,0.922,0.9259999999999999,,0.9279999999999999
Iran,,,0.77,,,0.8240000000000001,0.823,,0.85,,,
Iraq,0.74,,,,,,,,,,,0.785
Israel,,,,,,,,,,,,
Italy,,0.9840000000000001,,,,,,,,,,0.99
Jamaica,,,,,,,,,,,,0.87
Jordan,,,,0.899,,0.9109999999999999,,0.922,,,0.925,0.9590000000000001
Kazakhstan,,,,,,,,,,0.997,,
Kenya,0.8220000000000001,,,,,,,0.722,,,,
Kuwait,,,,,,0.9329999999999999,0.9329999999999999,0.937,0.9390000000000001,,,
Kyrgyz Republic,,,,,,,,,,0.992,,
Lao,0.696,0.687,,,,0.727,,,,,,
Latvia,0.998,,,,,,,,,,,0.998
Lebanon,,,,,,,,0.8959999999999999,,,,
Lesotho,0.863,,,,,,,,,0.758,,
Liberia,,,,,0.5479999999999999,,,0.429,,,,
Libya,,,,,0.861,,,,,,,0.895
Lithuania,,0.997,,,,,,,,,,0.997
Madagascar,0.7070000000000001,,,,,,,,,0.645,,
Malawi,,,,,,,,,,,0.613,
Malaysia,0.887,,,,,,,,,,0.9309999999999999,
Maldives,0.963,,,,,,0.9840000000000001,,,,,
Mali,,,,0.24,,,0.262,,,,0.311,0.33399999999999996
Malta,,,,,,0.924,,,,,,
Mauritania,0.512,,,,,,,,,,,0.586
Mauritius,0.843,,,,,,,,,,,0.888
Mexico,0.905,,0.903,,0.91,0.9159999999999999,0.917,0.9279999999999999,0.929,0.934,0.9309999999999999,0.935
Moldova,0.9670000000000001,,,,,,,,,,,0.99
Mongolia,0.978,,,,,,,,,,,0.9740000000000001
Montenegro,,,,,,,,,,,,0.985
