country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,106.0,106.2,106.4,106.6,106.8,107.0,106.6,106.2,105.8,105.4,105.0,105.2,105.4,105.6,105.8,106.0,106.0,106.0,106.0,106.0
Albania,102.0,101.8,101.6,101.4,101.2,101.0,101.2,101.4,101.6,101.8,102.0,102.4,102.8,103.2,103.6,104.0,104.0,104.0,104.0,104.0
Algeria,103.0,102.8,102.6,102.4,102.2,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
Angola,99.0,98.88,98.76,98.64,98.52000000000001,98.4,98.28,98.16,98.04,97.92,97.8,97.82,97.84,97.86,97.88000000000001,97.9,97.9,97.9,97.9,97.9
Antigua and Barbuda,88.6,88.92,89.24,89.56,89.88,90.2,90.52,90.84,91.16,91.48,91.8,91.98,92.16,92.34,92.52,92.7,92.7,92.7,92.7,92.7
Argentina,94.3,94.34,94.38,94.42,94.46,94.5,94.56,94.62,94.67999999999999,94.74,94.8,94.84,94.88,94.92,94.96,95.0,95.0,95.0,95.0,95.0
Armenia,88.5,88.56,88.62,88.67999999999999,88.74,88.8,88.62,88.44,88.26,88.08,87.9,88.06,88.22,88.38000000000001,88.54,88.7,88.7,88.7,88.7,88.7
Australia,99.5,99.52,99.53999999999999,99.56,99.58,99.6,99.67999999999999,99.75999999999999,99.84,99.92,100.0,99.86,99.72,99.58,99.44,99.3,99.3,99.3,99.3,99.3
Austria,94.3,94.36,94.42,94.47999999999999,94.53999999999999,94.6,94.69999999999999,94.8,94.89999999999999,95.0,95.1,95.25999999999999,95.42,95.58,95.74000000000001,95.9,95.9,95.9,95.9,95.9
Azerbaijan,95.7,95.98,96.26,96.53999999999999,96.82,97.1,97.32,97.53999999999999,97.76,97.98,98.2,98.38,98.56,98.74,98.92,99.1,99.1,99.1,99.1,99.1
Bahamas,95.0,94.88,94.76,94.64,94.52000000000001,94.4,94.32000000000001,94.24000000000001,94.16,94.08,94.0,94.06,94.12,94.17999999999999,94.24,94.3,94.3,94.3,94.3,94.3
Bahrain,135.0,138.0,141.0,144.0,147.0,150.0,153.2,156.4,159.6,162.8,166.0,165.0,164.0,163.0,162.0,161.0,161.0,161.0,161.0,161.0
Bangladesh,106.0,105.8,105.6,105.4,105.2,105.0,104.6,104.2,103.8,103.4,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
Barbados,92.5,92.46,92.42,92.38,92.34,92.3,92.3,92.3,92.3,92.3,92.3,92.46,92.61999999999999,92.78,92.94,93.1,93.1,93.1,93.1,93.1
Belarus,88.5,88.32,88.14,87.96,87.78,87.6,87.46,87.32,87.18,87.04,86.9,86.92,86.94,86.96000000000001,86.98,87.0,87.0,87.0,87.0,87.0
Belgium,96.0,96.06,96.12,96.17999999999999,96.24,96.3,96.34,96.38,96.42,96.46,96.5,96.54,96.58,96.62,96.66,96.7,96.7,96.7,96.7,96.7
Belize,101.0,101.0,101.0,101.0,101.0,101.0,100.8,100.6,100.4,100.2,100.0,99.92,99.84,99.75999999999999,99.67999999999999,99.6,99.6,99.6,99.6,99.6
Benin,97.1,97.32,97.53999999999999,97.76,97.98,98.2,98.3,98.4,98.5,98.60000000000001,98.7,98.82000000000001,98.94,99.06,99.17999999999999,99.3,99.3,99.3,99.3,99.3
Bhutan,105.0,106.0,107.0,108.0,109.0,110.0,110.2,110.4,110.6,110.8,111.0,111.2,111.4,111.6,111.8,112.0,112.0,112.0,112.0,112.0
Bolivia,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
Bosnia and Herzegovina,96.4,96.42,96.44,96.46000000000001,96.48,96.5,96.5,96.5,96.5,96.5,96.5,96.44,96.38,96.32000000000001,96.26,96.2,96.2,96.2,96.2,96.2
Botswana,93.8,93.98,94.16,94.34,94.52,94.7,94.9,95.10000000000001,95.3,95.5,95.7,95.14,94.58,94.02000000000001,93.46000000000001,92.9,92.9,92.9,92.9,92.9
Brazil,98.2,98.10000000000001,98.0,97.9,97.8,97.7,97.62,97.54,97.46,97.38,97.3,97.24,97.17999999999999,97.12,97.06,97.0,97.0,97.0,97.0,97.0
Brunei,103.0,103.2,103.4,103.6,103.8,104.0,104.6,105.2,105.8,106.4,107.0,107.2,107.4,107.6,107.8,108.0,108.0,108.0,108.0,108.0
Bulgaria,95.1,95.03999999999999,94.97999999999999,94.92,94.86,94.8,94.82,94.84,94.86,94.88000000000001,94.9,94.86,94.82000000000001,94.78,94.74000000000001,94.7,94.7,94.7,94.7,94.7
Burkina Faso,96.5,96.68,96.86,97.04,97.22,97.4,97.58,97.76,97.94,98.12,98.3,98.48,98.66,98.84,99.02,99.2,99.2,99.2,99.2,99.2
Burundi,96.5,96.64,96.78,96.92,97.06,97.2,97.3,97.4,97.5,97.60000000000001,97.7,97.78,97.86,97.94,98.02,98.1,98.1,98.1,98.1,98.1
Cambodia,94.6,94.53999999999999,94.47999999999999,94.42,94.36,94.3,94.44,94.58,94.72,94.86,95.0,95.04,95.08,95.12,95.16,95.2,95.2,95.2,95.2,95.2
Cameroon,99.1,99.14,99.17999999999999,99.22,99.25999999999999,99.3,99.38,99.46,99.54,99.62,99.7,99.74000000000001,99.78,99.82000000000001,99.86,99.9,99.9,99.9,99.9,99.9
Canada,98.2,98.22,98.24,98.26,98.28,98.3,98.34,98.38,98.42,98.46,98.5,98.48,98.46000000000001,98.44,98.42,98.4,98.4,98.4,98.4,98.4
Cape Verde,92.7,93.12,93.54,93.96,94.38,94.8,95.8,96.8,97.8,98.8,99.8,100.03999999999999,100.28,100.52,100.76,101.0,101.0,101.0,101.0,101.0
Central African Republic,97.3,97.38,97.46,97.54,97.62,97.7,97.76,97.82000000000001,97.88,97.94,98.0,98.04,98.08,98.12,98.16,98.2,98.2,98.2,98.2,98.2
Chad,99.1,99.14,99.17999999999999,99.22,99.25999999999999,99.3,99.34,99.38,99.42,99.46,99.5,99.52,99.53999999999999,99.56,99.58,99.6,99.6,99.6,99.6,99.6
Chile,96.8,96.82,96.84,96.86,96.88000000000001,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9
China,105.0,105.2,105.4,105.6,105.8,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
Colombia,96.2,96.18,96.16,96.14,96.11999999999999,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1
Comoros,101.0,101.0,101.0,101.0,101.0,101.0,101.2,101.4,101.6,101.8,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
"Congo, Dem. Rep.",98.4,98.48,98.56,98.64,98.72,98.8,98.86,98.92,98.97999999999999,99.03999999999999,99.1,99.17999999999999,99.25999999999999,99.34,99.42,99.5,99.5,99.5,99.5,99.5
"Congo, Rep.",97.4,97.58,97.76,97.94,98.12,98.3,98.44,98.58,98.72,98.86,99.0,99.1,99.2,99.3,99.4,99.5,99.5,99.5,99.5,99.5
Costa Rica,101.0,101.0,101.0,101.0,101.0,101.0,100.8,100.6,100.4,100.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cote d'Ivoire,106.0,105.6,105.2,104.8,104.4,104.0,103.8,103.6,103.4,103.2,103.0,102.8,102.6,102.4,102.2,102.0,102.0,102.0,102.0,102.0
Croatia,92.8,92.82,92.84,92.86,92.88000000000001,92.9,92.9,92.9,92.9,92.9,92.9,92.84,92.78,92.72,92.66,92.6,92.6,92.6,92.6,92.6
Cuba,99.4,99.4,99.4,99.4,99.4,99.4,99.32000000000001,99.24000000000001,99.16,99.08,99.0,98.96,98.92,98.88,98.84,98.8,98.8,98.8,98.8,98.8
Cyprus,102.0,102.2,102.4,102.6,102.8,103.0,102.34,101.68,101.02,100.36,99.7,99.76,99.82000000000001,99.88,99.94,100.0,100.0,100.0,100.0,100.0
Czech Republic,94.7,94.76,94.82000000000001,94.88,94.94,95.0,95.28,95.56,95.84,96.12,96.4,96.44,96.48,96.52,96.56,96.6,96.6,96.6,96.6,96.6
Denmark,97.9,97.94,97.98,98.02,98.06,98.1,98.17999999999999,98.25999999999999,98.34,98.42,98.5,98.58,98.66,98.74000000000001,98.82000000000001,98.9,98.9,98.9,98.9,98.9
Djibouti,101.0,101.0,101.0,101.0,101.0,101.0,103.6,106.2,108.8,111.4,114.0,113.6,113.2,112.8,112.4,112.0,112.0,112.0,112.0,112.0
Dominican Republic,100.0,100.2,100.4,100.6,100.8,101.0,101.0,101.0,101.0,101.0,101.0,100.8,100.6,100.4,100.2,100.0,100.0,100.0,100.0,100.0
Ecuador,101.0,101.0,101.0,101.0,101.0,101.0,100.8,100.6,100.4,100.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Egypt,101.0,101.2,101.4,101.6,101.8,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
