country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,106.0,,,,,107.0,,,,,105.0,,,,,106.0,,,,
Albania,102.0,,,,,101.0,,,,,102.0,,,,,104.0,,,,
Algeria,103.0,,,,,102.0,,,,,102.0,,,,,102.0,,,,
Angola,99.0,,,,,98.4,,,,,97.8,,,,,97.9,,,,
Antigua and Barbuda,88.6,,,,,90.2,,,,,91.8,,,,,92.7,,,,
Argentina,94.3,,,,,94.5,,,,,94.8,,,,,95.0,,,,
Armenia,88.5,,,,,88.8,,,,,87.9,,,,,88.7,,,,
Australia,99.5,,,,,99.6,,,,,100.0,,,,,99.3,,,,
Austria,94.3,,,,,94.6,,,,,95.1,,,,,95.9,,,,
Azerbaijan,95.7,,,,,97.1,,,,,98.2,,,,,99.1,,,,
Bahamas,95.0,,,,,94.4,,,,,94.0,,,,,94.3,,,,
Bahrain,135.0,,,,,150.0,,,,,166.0,,,,,161.0,,,,
Bangladesh,106.0,,,,,105.0,,,,,103.0,,,,,103.0,,,,
Barbados,92.5,,,,,92.3,,,,,92.3,,,,,93.1,,,,
Belarus,88.5,,,,,87.6,,,,,86.9,,,,,87.0,,,,
Belgium,96.0,,,,,96.3,,,,,96.5,,,,,96.7,,,,
Belize,101.0,,,,,101.0,,,,,100.0,,,,,99.6,,,,
Benin,97.1,,,,,98.2,,,,,98.7,,,,,99.3,,,,
Bhutan,105.0,,,,,110.0,,,,,111.0,,,,,112.0,,,,
Bolivia,101.0,,,,,101.0,,,,,101.0,,,,,101.0,,,,
Bosnia and Herzegovina,96.4,,,,,96.5,,,,,96.5,,,,,96.2,,,,
Botswana,93.8,,,,,94.7,,,,,95.7,,,,,92.9,,,,
Brazil,98.2,,,,,97.7,,,,,97.3,,,,,97.0,,,,
Brunei,103.0,,,,,104.0,,,,,107.0,,,,,108.0,,,,
Bulgaria,95.1,,,,,94.8,,,,,94.9,,,,,94.7,,,,
Burkina Faso,96.5,,,,,97.4,,,,,98.3,,,,,99.2,,,,
Burundi,96.5,,,,,97.2,,,,,97.7,,,,,98.1,,,,
Cambodia,94.6,,,,,94.3,,,,,95.0,,,,,95.2,,,,
Cameroon,99.1,,,,,99.3,,,,,99.7,,,,,99.9,,,,
Canada,98.2,,,,,98.3,,,,,98.5,,,,,98.4,,,,
Cape Verde,92.7,,,,,94.8,,,,,99.8,,,,,101.0,,,,
Central African Republic,97.3,,,,,97.7,,,,,98.0,,,,,98.2,,,,
Chad,99.1,,,,,99.3,,,,,99.5,,,,,99.6,,,,
Chile,96.8,,,,,96.9,,,,,96.9,,,,,96.9,,,,
China,105.0,,,,,106.0,,,,,106.0,,,,,106.0,,,,
Colombia,96.2,,,,,96.1,,,,,96.1,,,,,96.1,,,,
Comoros,101.0,,,,,101.0,,,,,102.0,,,,,102.0,,,,
"Congo, Dem. Rep.",98.4,,,,,98.8,,,,,99.1,,,,,99.5,,,,
"Congo, Rep.",97.4,,,,,98.3,,,,,99.0,,,,,99.5,,,,
Costa Rica,101.0,,,,,101.0,,,,,100.0,,,,,100.0,,,,
Cote d'Ivoire,106.0,,,,,104.0,,,,,103.0,,,,,102.0,,,,
Croatia,92.8,,,,,92.9,,,,,92.9,,,,,92.6,,,,
Cuba,99.4,,,,,99.4,,,,,99.0,,,,,98.8,,,,
Cyprus,102.0,,,,,103.0,,,,,99.7,,,,,100.0,,,,
Czech Republic,94.7,,,,,95.0,,,,,96.4,,,,,96.6,,,,
Denmark,97.9,,,,,98.1,,,,,98.5,,,,,98.9,,,,
Djibouti,101.0,,,,,101.0,,,,,114.0,,,,,112.0,,,,
Dominican Republic,100.0,,,,,101.0,,,,,101.0,,,,,100.0,,,,
Ecuador,101.0,,,,,101.0,,,,,100.0,,,,,100.0,,,,
Egypt,101.0,,,,,102.0,,,,,102.0,,,,,102.0,,,,
El Salvador,92.9,,,,,91.3,,,,,89.8,,,,,88.8,,,,
Equatorial Guinea,108.0,,,,,113.0,,,,,119.0,,,,,124.0,,,,
Eritrea,99.1,,,,,99.6,,,,,99.9,,,,,100.0,,,,
Estonia,87.4,,,,,86.8,,,,,87.2,,,,,87.9,,,,
